Date,MaxT F,MaxT C,MinT F,MinT C,GDD C,Accumulation,Days
5/23/2019,70.1,21.2,49.7,9.8,5.5,5.5,1
5/24/2019,71.1,21.7,49,9.4,5.58,11.1,2
5/25/2019,80.5,26.9,60.3,15.7,11.33,22.4,3
5/26/2019,75.1,23.9,54.3,12.4,8.17,30.6,4
5/27/2019,64.7,18.2,51.5,10.8,4.5,35.1,5
5/28/2019,59.2,15.1,50.2,10.1,2.61,37.7,6
5/29/2019,70.1,21.2,52.1,11.2,6.17,43.9,7
5/30/2019,76.1,24.5,57.9,14.4,9.44,53.3,8
5/31/2019,83.9,28.8,55.2,12.9,10.86,64.2,9
6/1/2019,71.7,22.1,54.3,12.4,7.22,71.4,10
6/2/2019,72.1,22.3,46.3,7.9,5.11,76.5,11
6/3/2019,67.7,19.8,40.7,4.8,2.33,78.8,12
6/4/2019,77,25,49.4,9.7,7.33,86.2,13
6/5/2019,80.3,26.8,60.8,16,11.42,97.6,14
6/6/2019,83.8,28.8,55.2,12.9,10.83,108.4,15
6/7/2019,83.6,28.7,53.1,11.7,10.19,118.6,16
6/8/2019,82.5,28.1,55,12.8,10.42,129,17
6/9/2019,75.9,24.4,59.8,15.4,9.92,138.9,18
6/10/2019,74.2,23.4,51.9,11.1,7.25,146.2,19
6/11/2019,78.5,25.8,46.8,8.2,7.03,153.2,20
6/12/2019,61.8,16.6,51.9,11.1,3.81,157,21
6/13/2019,68,20,46.4,8,4,161,22
6/14/2019,78.7,25.9,45.9,7.7,6.83,167.9,23
6/15/2019,77.1,25.1,54.8,12.7,8.86,176.7,24
6/16/2019,60.5,15.8,51.2,10.7,3.25,180,25
6/17/2019,75.5,24.2,52.5,11.4,7.78,187.7,26
6/18/2019,76.5,24.7,55.2,12.9,8.81,196.6,27
6/19/2019,68.5,20.3,56.6,13.7,6.97,203.5,28
6/20/2019,73.4,23,54.6,12.6,7.78,211.3,29
6/21/2019,73.9,23.3,51,10.6,6.92,218.2,30
