year,tpl,date_tpl,gdd_0,GDD,date_harv,doy_harv,eu,transplant,sex,crop,rep,height_cm,weight_g,weight_0,red_all,test_0,red_p_tpl
2020,0,161,0,189,1-Sep,245,337,1,f,wide,4,188,193.87,58.77474642,-217.9239095,0,
2020,0,161,0,189,19-Aug,232,377,1,m,wide,3,198,170.07,63.83566887,-178.8947196,0,
2020,0,161,0,189,19-Aug,232,358,1,m,fallow,4,203,1286.83,0,-173.6364216,0,
2020,0,161,0,189,19-Aug,232,356,1,m,fallow,4,201,1172.58,0,-149.3418674,0,
2020,0,161,0,189,27-Aug,240,335,1,f,wide,2,180,151.59,67.7653263,-148.5897015,0,
2019,10,175,,247,7-Aug,219,79,2,m,wide,1,155,50.5,63.39253353,-147.9135984,0,
2019,0,165,0,168,15-Aug,227,5,1,m,fallow,1,129,333.85,0,-142.0079739,0,
2019,0,165,0,168,15-Aug,227,48,1,m,wide,3,155,49.21,64.32765495,-141.580756,0,
2020,0,161,0,189,19-Aug,232,357,1,m,fallow,4,201,1132.12,0,-140.7382993,0,
2019,0,165,0,168,15-Aug,227,47,1,m,wide,3,152,48.87,64.57412106,-139.9116348,0,
2020,0,161,0,189,19-Aug,232,381,1,m,narrow,3,188,57.27,87.82188955,-117.6738883,0,
2020,0,161,0,189,14-Aug,227,347,1,f,narrow,2,158,56.46,87.99413103,-114.5952109,0,
2019,0,165,0,168,15-Aug,227,56,1,m,fallow,4,168,283.01,0,-105.1540413,0,
2019,0,165,0,168,29-Jul,210,26,1,m,narrow,2,118,18.6,86.51685393,-103.2786885,0,
2019,0,165,0,168,20-Aug,232,46,1,m,wide,3,151,38.72,71.93185937,-90.08345606,0,
2019,0,165,0,168,23-Jul,204,40,1,m,narrow,3,73,16.1,88.32910475,-75.95628415,0,
2020,0,161,0,189,19-Aug,232,354,1,m,fallow,3,168,806.01,0,-71.39302954,0,
2020,10,171,,269,30-Jul,212,432,2,m,wide,3,114,103.15,78.06579199,-69.15382092,0,
2020,0,161,0,189,14-Aug,227,330,1,f,corn,1,117,24.35,94.82212346,-67.46905089,0,
2020,10,171,,269,19-Aug,232,392,2,f,fallow,4,188,781.43,0,-66.16624492,0,
